timestamp,frobenius_norm
196.121257,0.000100
196.121257,0.000096
196.121257,0.000093
196.181257,0.000099
196.181257,0.000099
196.241257,0.000191
196.281257,0.000333
196.281257,0.000382
196.341257,0.000622
196.341257,0.000690
196.381257,0.000922
196.381257,0.000959
196.441257,0.001348
196.441257,0.001376
196.481257,0.001654
196.481257,0.001637
196.541257,0.002074
196.541257,0.002038
196.581257,0.002289
196.581257,0.002208
196.641257,0.002583
196.641257,0.002464
196.681257,0.002628
196.681257,0.002475
196.741257,0.002723
196.741257,0.002539
196.801257,0.002789
196.801257,0.002607
196.841257,0.002680
196.841257,0.002501
196.901257,0.002659
196.901257,0.002465
196.941257,0.002482
196.941257,0.002305
197.001257,0.002412
197.001257,0.002246
197.041257,0.002248
197.041257,0.002097
197.101257,0.002168
197.101257,0.002023
197.141257,0.001995
197.141257,0.001860
197.201257,0.001883
197.201257,0.001756
197.241257,0.001725
197.241257,0.001614
197.301257,0.001641
197.301257,0.001544
197.361257,0.001590
197.361257,0.001509
197.401257,0.001511
197.401257,0.001438
197.461257,0.001475
197.461257,0.001400
197.501257,0.001401
197.501257,0.001337
197.561257,0.001357
197.561257,0.001288
197.601257,0.001282
197.601257,0.001226
197.661257,0.001248
197.661257,0.001194
197.701257,0.001190
197.701257,0.001143
197.761257,0.001188
197.761257,0.001153
197.801257,0.001168
197.801257,0.001132
197.861257,0.001176
197.861257,0.001140
197.921257,0.001169
197.921257,0.001123
197.961257,0.001121
197.961257,0.001080
198.021257,0.001100
198.021257,0.001061
198.061257,0.001060
198.061257,0.001027
198.121257,0.001046
198.121257,0.001014
198.161257,0.001028
198.161257,0.001005
198.221257,0.001040
198.221257,0.001016
198.261257,0.001018
198.261257,0.000990
198.321257,0.001006
198.321257,0.000976
198.361257,0.000980
198.361257,0.000958
198.421257,0.000964
198.421257,0.000936
198.481257,0.000949
198.481257,0.000927
198.521257,0.000935
198.521257,0.000918
198.581257,0.000949
198.581257,0.000933
198.621257,0.000951
198.621257,0.000937
198.681257,0.000973
198.681257,0.000956
198.721257,0.000964
198.721257,0.000942
198.781257,0.000967
198.781257,0.000944
198.821257,0.000960
198.821257,0.000945
198.881257,0.000966
198.881257,0.000946
198.921257,0.000950
198.921257,0.000932
198.981257,0.000947
198.981257,0.000927
199.021257,0.000930
199.021257,0.000911
199.081257,0.000936
199.081257,0.000918
199.081257,0.000905
199.141257,0.000946
199.141257,0.000938
199.181257,0.000962
199.181257,0.000952
199.241257,0.000988
199.241257,0.000971
199.281257,0.000994
199.281257,0.000981
199.341257,0.001008
199.341257,0.000985
199.381257,0.000995
199.381257,0.000979
199.441257,0.001006
199.441257,0.000989
199.481257,0.000996
199.481257,0.000980
199.541257,0.000998
199.541257,0.000984
199.581257,0.000995
199.581257,0.000983
199.641257,0.001012
199.641257,0.000997
199.701257,0.001016
199.701257,0.000993
199.741257,0.001008
199.741257,0.000996
199.801257,0.001016
199.801257,0.001002
199.841257,0.001012
199.841257,0.001001
199.901257,0.001015
199.901257,0.000999
199.941257,0.001008
199.941257,0.000999
200.001257,0.001016
200.001257,0.001006
200.041257,0.001009
200.041257,0.000997
200.101256,0.001006
200.101256,0.000993
200.141257,0.001010
200.141257,0.001008
200.201257,0.001030
200.201257,0.001023
200.261257,0.001032
200.261257,0.001021
200.301257,0.001030
200.301257,0.001023
200.361257,0.001023
200.361257,0.001005
200.401257,0.001000
200.401257,0.000987
200.461257,0.000992
200.461257,0.000978
200.501257,0.000978
200.501257,0.000966
200.561257,0.000979
200.561257,0.000970
200.601257,0.000975
200.601257,0.000966
200.661257,0.000976
200.661257,0.000965
200.701257,0.000972
200.701257,0.000963
200.761257,0.000986
200.761257,0.000984
200.821257,0.001016
200.821257,0.001012
200.861257,0.001037
200.861257,0.001030
200.921257,0.001076
200.921257,0.001064
200.961257,0.001078
200.961257,0.001058
201.021257,0.001090
201.021257,0.001070
201.061257,0.001083
201.061257,0.001066
201.121257,0.001094
201.121257,0.001077
201.161257,0.001088
201.161257,0.001082
201.221257,0.001104
201.221257,0.001100
201.261257,0.001109
