timestamp,frobenius_norm
743.481257,0.001757
743.481257,0.001876
743.541257,0.002377
743.541257,0.002464
743.581257,0.003521
743.581257,0.003743
743.641257,0.006145
743.641257,0.006711
743.681257,0.008902
743.681257,0.009535
743.741257,0.013362
743.741257,0.014218
743.781257,0.017249
743.781257,0.017884
743.841257,0.022106
743.841257,0.022660
743.881257,0.025101
743.881257,0.025217
743.941257,0.028504
743.941257,0.028493
744.001257,0.031407
744.001257,0.031129
744.041257,0.032453
744.041257,0.031818
744.101257,0.033225
744.101257,0.032266
744.141257,0.032660
744.141257,0.031593
744.201257,0.032387
744.201257,0.031189
744.241261,0.031087
744.241261,0.029785
744.241261,0.028490
744.301257,0.028268
744.341257,0.027671
744.341257,0.026316
744.341257,0.025098
744.401257,0.025049
744.441257,0.024688
744.441257,0.023641
744.501257,0.023512
744.501257,0.022495
744.501257,0.021554
744.561257,0.021500
744.601257,0.021208
744.601257,0.020342
744.661256,0.020171
744.661256,0.019304
744.701257,0.019004
744.701257,0.018298
744.761257,0.018286
744.761257,0.017651
744.801257,0.017471
744.801257,0.016906
744.861256,0.016806
744.861256,0.016205
744.901257,0.016039
744.901257,0.015522
744.901257,0.015052
744.961257,0.015155
745.001257,0.015109
745.001257,0.014636
745.001257,0.014198
745.061256,0.014062
745.061256,0.013477
745.121257,0.013483
745.121257,0.012967
745.161257,0.012877
745.161257,0.012428
745.221257,0.012633
745.241257,0.012427
745.261256,0.012392
745.261256,0.012172
745.321257,0.012672
745.361257,0.012964
745.361257,0.012698
745.361257,0.012449
745.421257,0.012992
745.421257,0.012676
745.461256,0.012728
745.461256,0.012287
745.521257,0.012627
745.521257,0.012174
745.561257,0.012264
745.561257,0.011847
745.621256,0.012215
745.621256,0.011798
745.661256,0.011457
745.661256,0.010833
745.721257,0.010845
745.721257,0.010361
745.781257,0.010382
745.781257,0.009954
745.821256,0.009868
745.821256,0.009549
745.881257,0.009766
745.921257,0.009792
745.921257,0.009560
745.921257,0.009371
745.981257,0.009579
745.981257,0.009338
746.021256,0.009506
746.021256,0.009341
746.081257,0.009619
746.081257,0.009383
746.121257,0.009550
746.121257,0.009332
746.181257,0.009731
746.221256,0.009924
746.221256,0.009650
746.221256,0.009408
746.281257,0.009532
746.281257,0.009086
746.341257,0.009255
746.381257,0.009192
746.381257,0.008757
746.441257,0.008916
746.441257,0.008508
746.481257,0.008512
746.481257,0.008248
746.541257,0.008480
746.541257,0.008162
746.581257,0.008138
746.581257,0.007791
746.641257,0.007900
746.641257,0.007551
746.681257,0.007813
746.681257,0.007701
746.741257,0.007945
746.741257,0.007656
746.781257,0.007687
746.781257,0.007416
746.841257,0.007484
746.841257,0.007143
746.901257,0.007545
746.901257,0.007405
746.941257,0.007496
746.941257,0.007241
747.001257,0.007405
747.001257,0.007091
747.041257,0.007121
747.041257,0.006855
747.101257,0.007287
747.101257,0.007146
747.141257,0.007334
747.141257,0.007124
747.201257,0.007412
747.201257,0.007126
747.241257,0.007204
747.241257,0.006922
747.301257,0.007338
747.301257,0.007137
747.341257,0.007309
747.341257,0.007069
747.401257,0.007316
747.401257,0.006994
747.401257,0.006715
747.461257,0.007152
747.501257,0.007361
747.501257,0.007154
747.501257,0.006954
747.561257,0.007255
747.601257,0.007349
747.601257,0.007071
747.601257,0.006832
747.661256,0.007158
747.701257,0.007296
747.701257,0.007016
747.701257,0.006746
747.761257,0.006943
747.761257,0.006612
747.801257,0.006592
747.801257,0.006273
747.861256,0.006781
747.861256,0.006688
747.901257,0.006866
747.901257,0.006648
747.961257,0.006890
747.961257,0.006605
748.001257,0.006626
748.001257,0.006346
748.061256,0.006828
748.061256,0.006718
748.121257,0.007049
748.121257,0.006806
748.161257,0.006862
748.161257,0.006591
748.221257,0.006771
748.221257,0.006487
748.261256,0.006675
748.261256,0.006515
748.321257,0.006784
748.321257,0.006551
748.361262,0.006575
748.361262,0.006318
748.421257,0.006439
748.421257,0.006171
748.461256,0.006345
748.461256,0.006211
748.521257,0.006427
748.521257,0.006216
748.561257,0.006251
748.561257,0.006037
748.621256,0.006171
748.621256,0.005945
748.681257,0.006199
748.681257,0.006084
748.721257,0.006225
748.721257,0.006109
748.781257,0.006388
748.781257,0.006250
748.821257,0.006377
748.821257,0.006228
748.881257,0.006185
748.881257,0.005844
748.921257,0.005789
748.921257,0.005523
748.981257,0.005595
748.981257,0.005345
749.021257,0.005318
749.021257,0.005123
749.081257,0.005413
749.081257,0.005326
749.121257,0.005473
749.121257,0.005328
749.181257,0.005543
749.181257,0.005344
749.241257,0.005522
749.241257,0.005304
749.281257,0.005472
749.281257,0.005435
749.341257,0.005888
749.341257,0.005894
749.381257,0.006237
749.381257,0.006232
749.441257,0.006750
749.441257,0.006701
749.481257,0.007101
749.481257,0.007048
749.541257,0.007547
749.541257,0.007370
749.581257,0.007568
749.581257,0.007338
749.641257,0.007669
749.641257,0.007378
749.681257,0.006852
749.681257,0.006184
749.741262,0.006049
749.741262,0.005611
749.801257,0.005612
749.801257,0.005341
749.841257,0.005311
749.841257,0.005138
749.901257,0.005580
749.901257,0.005639
749.941257,0.005868
749.941257,0.005795
750.001257,0.006051
750.001257,0.005891
750.041257,0.005967
750.041257,0.005802
750.101257,0.005823
750.101257,0.005513
750.141257,0.005450
750.141257,0.005187
750.201257,0.005214
750.201257,0.004956
750.241257,0.004905
750.241257,0.004703
750.301257,0.004852
750.301257,0.004707
750.361257,0.004855
