timestamp,angle_axis_x,angle_axis_y,angle_axis_z,angle_axis_cos,angle_axis_sin,pos_N,pos_E,pos_D,vel_N,vel_E,vel_D,accel_x,accel_y,accel_z,pos_uncert,vel_uncert
60.681,0.023,0.999,-0.036,0.620,0.785,0.000,0.000,0.000,0.000,0.000,0.000,0.207,0.108,-9.683,8.660,1.732
60.681,0.023,0.999,-0.036,0.530,0.848,0.000,0.000,0.000,0.000,0.000,0.000,0.207,0.108,-9.683,8.660,1.732
60.681,0.023,0.999,-0.036,0.498,0.867,0.000,0.000,0.000,0.000,0.000,0.000,0.207,0.108,-9.683,8.660,1.732
60.741,0.023,0.999,-0.036,0.477,0.879,-0.001,-0.007,-0.001,-0.501,0.029,0.302,0.164,0.110,-9.691,7.024,1.733
60.741,0.023,0.999,-0.036,0.466,0.885,-0.002,-0.009,-0.002,-0.502,0.029,0.308,0.164,0.110,-9.691,6.353,1.733
60.781,0.023,0.999,-0.036,0.457,0.889,-0.017,-0.009,0.010,-0.842,0.049,0.520,0.193,0.117,-9.689,5.966,1.733
60.781,0.023,0.999,-0.036,0.452,0.892,-0.014,-0.010,0.009,-0.843,0.049,0.524,0.193,0.117,-9.689,5.702,1.733
60.781,0.023,0.999,-0.035,0.448,0.894,-0.012,-0.011,0.008,-0.843,0.049,0.527,0.193,0.117,-9.689,5.504,1.733
60.841,0.023,0.999,-0.035,0.444,0.896,-0.054,-0.008,0.038,-1.357,0.080,0.849,0.177,0.121,-9.680,5.348,1.734
60.841,0.024,0.999,-0.035,0.442,0.897,-0.048,-0.009,0.037,-1.357,0.080,0.851,0.177,0.121,-9.680,5.216,1.734
60.901,0.023,0.999,-0.036,0.438,0.899,-0.115,-0.005,0.087,-1.873,0.111,1.176,0.179,0.119,-9.700,5.107,1.735
60.901,0.023,0.999,-0.036,0.437,0.899,-0.104,-0.006,0.085,-1.872,0.111,1.177,0.179,0.119,-9.700,5.006,1.735
60.961,0.023,0.999,-0.036,0.435,0.901,-0.195,-0.003,0.152,-2.386,0.144,1.503,0.197,0.154,-9.668,4.922,1.737
60.961,0.023,0.999,-0.036,0.435,0.901,-0.177,-0.005,0.149,-2.385,0.143,1.503,0.197,0.154,-9.668,4.839,1.736
61.001,0.023,0.999,-0.036,0.434,0.901,-0.250,-0.002,0.205,-2.729,0.164,1.721,0.182,0.118,-9.704,4.769,1.737
61.001,0.023,0.999,-0.036,0.433,0.901,-0.231,-0.005,0.201,-2.727,0.164,1.721,0.182,0.118,-9.704,4.698,1.736
61.001,0.023,0.999,-0.036,0.433,0.901,-0.214,-0.007,0.196,-2.726,0.163,1.721,0.182,0.118,-9.704,4.632,1.736
61.061,0.023,0.999,-0.036,0.432,0.902,-0.353,0.001,0.294,-3.242,0.193,2.050,0.152,0.095,-9.684,4.579,1.738
61.061,0.023,0.999,-0.036,0.432,0.902,-0.331,-0.002,0.289,-3.239,0.193,2.050,0.152,0.095,-9.684,4.520,1.737
61.121,0.023,0.999,-0.036,0.431,0.902,-0.494,0.007,0.406,-3.754,0.222,2.375,0.200,0.100,-9.727,4.476,1.739
61.121,0.023,0.999,-0.036,0.431,0.902,-0.466,0.005,0.399,-3.750,0.222,2.374,0.200,0.100,-9.727,4.422,1.738
61.161,0.023,0.999,-0.036,0.431,0.902,-0.583,0.011,0.485,-4.091,0.242,2.592,0.165,0.120,-9.723,4.379,1.739
61.161,0.023,0.999,-0.036,0.431,0.902,-0.553,0.008,0.476,-4.086,0.241,2.592,0.165,0.120,-9.723,4.330,1.738
61.161,0.023,0.999,-0.036,0.431,0.902,-0.527,0.005,0.468,-4.081,0.241,2.592,0.165,0.120,-9.723,4.282,1.736
61.221,0.023,0.999,-0.036,0.431,0.902,-0.735,0.016,0.613,-4.593,0.270,2.917,0.200,0.100,-9.718,4.252,1.739
61.221,0.023,0.999,-0.036,0.431,0.902,-0.702,0.013,0.603,-4.585,0.269,2.916,0.200,0.100,-9.718,4.208,1.737
61.281,0.023,0.999,-0.036,0.431,0.902,-0.933,0.026,0.766,-5.093,0.299,3.244,0.167,0.122,-9.695,4.182,1.740
61.281,0.023,0.999,-0.036,0.431,0.902,-0.893,0.022,0.753,-5.082,0.298,3.243,0.167,0.122,-9.695,4.140,1.738
61.321,0.023,0.999,-0.036,0.431,0.902,-1.050,0.031,0.870,-5.414,0.317,3.460,0.201,0.104,-9.674,4.112,1.739
61.321,0.023,0.999,-0.036,0.431,0.902,-1.008,0.028,0.856,-5.401,0.317,3.460,0.201,0.104,-9.674,4.073,1.737
61.321,0.023,0.999,-0.036,0.431,0.902,-0.968,0.025,0.843,-5.389,0.316,3.459,0.201,0.104,-9.674,4.034,1.734
61.381,0.023,0.999,-0.036,0.431,0.902,-1.241,0.039,1.034,-5.892,0.344,3.784,0.197,0.101,-9.708,4.018,1.738
61.381,0.023,0.999,-0.036,0.431,0.902,-1.195,0.035,1.019,-5.876,0.343,3.783,0.197,0.101,-9.707,3.981,1.735
61.441,0.023,0.999,-0.036,0.430,0.903,-1.488,0.051,1.227,-6.373,0.373,4.109,0.187,0.133,-9.720,3.968,1.739
61.441,0.023,0.999,-0.036,0.431,0.902,-1.433,0.047,1.209,-6.352,0.372,4.107,0.188,0.133,-9.720,3.933,1.735
61.501,0.023,0.999,-0.036,0.430,0.903,-1.746,0.065,1.434,-6.844,0.399,4.434,0.170,0.102,-9.699,3.924,1.739
61.501,0.023,0.999,-0.036,0.431,0.902,-1.683,0.060,1.413,-6.817,0.397,4.432,0.170,0.102,-9.699,3.889,1.735
61.521,0.023,0.999,-0.037,0.431,0.902,-1.755,0.063,1.480,-6.963,0.406,4.540,0.167,0.111,-9.714,3.865,1.734
61.541,0.023,0.999,-0.037,0.431,0.902,-1.827,0.066,1.548,-7.106,0.414,4.647,0.201,0.134,-9.720,3.841,1.733
61.541,0.023,0.999,-0.037,0.431,0.902,-1.764,0.061,1.525,-7.079,0.412,4.646,0.202,0.134,-9.720,3.809,1.729
61.601,0.023,0.999,-0.037,0.431,0.902,-2.111,0.080,1.778,-7.560,0.440,4.970,0.207,0.117,-9.694,3.806,1.734
61.601,0.023,0.999,-0.037,0.431,0.902,-2.039,0.074,1.753,-7.526,0.437,4.968,0.207,0.117,-9.694,3.775,1.730
61.661,0.023,0.999,-0.037,0.431,0.902,-2.402,0.094,2.022,-7.999,0.463,5.293,0.193,0.089,-9.667,3.775,1.735
61.661,0.023,0.999,-0.037,0.431,0.902,-2.320,0.088,1.993,-7.957,0.460,5.291,0.194,0.088,-9.666,3.744,1.730
61.701,0.023,0.999,-0.037,0.431,0.902,-2.546,0.100,2.174,-8.256,0.478,5.507,0.181,0.115,-9.694,3.736,1.732
61.701,0.023,0.999,-0.037,0.431,0.902,-2.460,0.093,2.144,-8.211,0.475,5.505,0.182,0.115,-9.693,3.706,1.727
61.701,0.023,0.999,-0.037,0.431,0.902,-2.380,0.088,2.115,-8.170,0.472,5.502,0.182,0.115,-9.692,3.677,1.722
61.761,0.023,0.999,-0.037,0.431,0.902,-2.772,0.109,2.411,-8.635,0.499,5.827,0.193,0.119,-9.681,3.682,1.730
61.761,0.023,0.999,-0.037,0.431,0.902,-2.680,0.102,2.378,-8.585,0.496,5.824,0.193,0.119,-9.680,3.654,1.724
61.821,0.023,0.999,-0.037,0.431,0.902,-3.084,0.124,2.690,-9.042,0.522,6.148,0.193,0.103,-9.691,3.661,1.732
61.821,0.023,0.999,-0.037,0.431,0.902,-2.981,0.117,2.654,-8.984,0.518,6.144,0.194,0.103,-9.689,3.633,1.725
61.881,0.023,0.999,-0.037,0.431,0.902,-3.396,0.140,2.982,-9.432,0.545,6.467,0.214,0.121,-9.693,3.643,1.734
61.881,0.023,0.999,-0.037,0.431,0.902,-3.280,0.132,2.942,-9.366,0.540,6.463,0.215,0.121,-9.691,3.615,1.727
61.881,0.023,0.999,-0.037,0.431,0.902,-3.172,0.125,2.903,-9.305,0.536,6.459,0.216,0.121,-9.689,3.588,1.721
61.921,0.023,0.999,-0.037,0.431,0.902,-3.425,0.138,3.120,-9.582,0.552,6.673,0.197,0.110,-9.699,3.587,1.726
61.921,0.023,0.999,-0.037,0.431,0.902,-3.314,0.131,3.079,-9.518,0.548,6.669,0.198,0.110,-9.697,3.560,1.719
61.981,0.023,0.999,-0.037,0.431,0.902,-3.751,0.155,3.433,-9.955,0.574,6.991,0.226,0.114,-9.650,3.574,1.730
61.981,0.023,0.999,-0.037,0.431,0.902,-3.625,0.146,3.388,-9.881,0.570,6.987,0.228,0.114,-9.648,3.548,1.723
62.041,0.024,0.999,-0.037,0.431,0.902,-4.070,0.171,3.758,-10.311,0.595,7.309,0.197,0.118,-9.671,3.564,1.735
62.041,0.024,0.999,-0.038,0.431,0.902,-3.932,0.161,3.709,-10.230,0.590,7.304,0.199,0.118,-9.668,3.537,1.728
62.081,0.023,0.999,-0.038,0.431,0.902,-4.190,0.175,3.950,-10.485,0.606,7.516,0.223,0.128,-9.665,3.541,1.734
62.081,0.023,0.999,-0.038,0.431,0.902,-4.049,0.166,3.899,-10.402,0.601,7.510,0.224,0.128,-9.663,3.514,1.726
62.081,0.023,0.999,-0.038,0.431,0.902,-3.917,0.157,3.850,-10.324,0.596,7.505,0.226,0.128,-9.660,3.489,1.720
62.141,0.023,0.999,-0.038,0.431,0.902,-4.381,0.183,4.245,-10.747,0.620,7.826,0.226,0.093,-9.634,3.509,1.735
62.141,0.023,0.999,-0.038,0.431,0.902,-4.236,0.173,4.191,-10.660,0.614,7.820,0.228,0.093,-9.631,3.483,1.727
62.201,0.023,0.999,-0.038,0.431,0.902,-4.705,0.199,4.602,-11.074,0.638,8.139,0.234,0.105,-9.636,3.506,1.743
62.201,0.023,0.999,-0.038,0.431,0.902,-4.546,0.188,4.544,-10.980,0.633,8.133,0.236,0.105,-9.632,3.480,1.735
62.201,0.023,0.999,-0.038,0.431,0.902,-4.397,0.178,4.488,-10.892,0.627,8.126,0.238,0.105,-9.629,3.455,1.728
62.261,0.023,0.999,-0.038,0.431,0.902,-4.877,0.205,4.914,-11.302,0.652,8.448,0.200,0.114,-9.594,3.479,1.746
62.261,0.023,0.999,-0.038,0.431,0.902,-4.714,0.194,4.853,-11.206,0.646,8.441,0.202,0.114,-9.590,3.454,1.738
62.301,0.023,0.999,-0.038,0.431,0.902,-4.986,0.209,5.127,-11.446,0.662,8.651,0.229,0.129,-9.641,3.463,1.749
62.301,0.023,0.999,-0.039,0.431,0.902,-4.822,0.198,5.065,-11.349,0.656,8.643,0.232,0.129,-9.637,3.438,1.741
62.361,0.023,0.999,-0.039,0.431,0.902,-5.311,0.225,5.515,-11.752,0.681,8.960,0.241,0.121,-9.643,3.466,1.762
62.361,0.023,0.999,-0.039,0.431,0.902,-5.132,0.214,5.448,-11.647,0.675,8.952,0.244,0.121,-9.638,3.441,1.753
62.421,0.023,0.999,-0.039,0.431,0.902,-5.625,0.241,5.912,-12.039,0.700,9.269,0.259,0.127,-9.583,3.471,1.777
62.421,0.023,0.999,-0.039,0.431,0.902,-5.432,0.229,5.841,-11.927,0.694,9.259,0.262,0.127,-9.578,3.446,1.767
62.421,0.023,0.999,-0.039,0.431,0.902,-5.252,0.217,5.771,-11.823,0.687,9.251,0.265,0.127,-9.574,3.421,1.759
62.461,0.024,0.999,-0.039,0.431,0.902,-5.531,0.232,6.067,-12.052,0.701,9.459,0.247,0.092,-9.577,3.434,1.774
62.461,0.024,0.999,-0.040,0.431,0.902,-5.350,0.221,5.996,-11.947,0.696,9.449,0.250,0.092,-9.572,3.409,1.765
62.521,0.024,0.999,-0.040,0.431,0.902,-5.858,0.249,6.485,-12.340,0.721,9.765,0.253,0.111,-9.593,3.444,1.793
62.521,0.024,0.999,-0.040,0.431,0.902,-5.663,0.237,6.409,-12.229,0.714,9.755,0.256,0.111,-9.587,3.419,1.783
62.581,0.024,0.999,-0.040,0.431,0.902,-6.174,0.266,6.912,-12.611,0.739,10.071,0.256,0.118,-9.527,3.455,1.813
62.581,0.024,0.999,-0.040,0.431,0.902,-5.967,0.253,6.831,-12.494,0.733,10.060,0.259,0.118,-9.521,3.430,1.803
62.581,0.023,0.999,-0.041,0.432,0.902,-5.773,0.240,6.752,-12.384,0.727,10.049,0.262,0.118,-9.515,3.405,1.794
62.641,0.024,0.999,-0.041,0.431,0.902,-6.293,0.270,7.269,-12.769,0.752,10.363,0.266,0.113,-9.552,3.444,1.826
62.641,0.024,0.999,-0.041,0.432,0.902,-6.086,0.257,7.185,-12.653,0.746,10.351,0.270,0.113,-9.546,3.419,1.817
62.681,0.024,0.999,-0.041,0.432,0.902,-6.370,0.273,7.512,-12.868,0.761,10.555,0.285,0.122,-9.525,3.438,1.837
62.681,0.024,0.999,-0.041,0.432,0.902,-6.162,0.260,7.426,-12.752,0.755,10.543,0.289,0.121,-9.518,3.413,1.827
62.741,0.024,0.999,-0.042,0.432,0.902,-6.693,0.290,7.967,-13.130,0.780,10.855,0.292,0.108,-9.505,3.457,1.863
62.741,0.024,0.999,-0.042,0.432,0.902,-6.473,0.277,7.877,-13.009,0.774,10.842,0.296,0.108,-9.498,3.431,1.853
62.741,0.024,0.999,-0.042,0.432,0.902,-6.268,0.264,7.789,-12.897,0.768,10.828,0.299,0.108,-9.491,3.406,1.844
62.801,0.024,0.999,-0.043,0.432,0.902,-6.808,0.295,8.343,-13.277,0.795,11.140,0.288,0.111,-9.523,3.453,1.883
62.801,0.024,0.999,-0.043,0.432,0.902,-6.589,0.281,8.250,-13.158,0.789,11.125,0.292,0.110,-9.516,3.428,1.873
62.841,0.024,0.999,-0.043,0.432,0.902,-6.882,0.298,8.598,-13.367,0.804,11.328,0.296,0.101,-9.448,3.452,1.897
62.841,0.024,0.999,-0.043,0.432,0.902,-6.664,0.284,8.503,-13.250,0.798,11.313,0.300,0.101,-9.441,3.427,1.887
62.901,0.024,0.999,-0.044,0.432,0.902,-7.211,0.317,9.080,-13.620,0.826,11.622,0.326,0.128,-9.458,3.478,1.929
62.901,0.024,0.999,-0.044,0.432,0.902,-6.980,0.302,8.979,-13.497,0.820,11.606,0.330,0.128,-9.450,3.452,1.919
62.961,0.024,0.999,-0.045,0.432,0.902,-7.528,0.335,9.567,-13.862,0.846,11.912,0.351,0.109,-9.467,3.507,1.963
62.961,0.024,0.999,-0.045,0.432,0.902,-7.283,0.320,9.460,-13.733,0.841,11.895,0.355,0.109,-9.459,3.480,1.952
62.961,0.024,0.999,-0.045,0.432,0.902,-7.054,0.306,9.356,-13.612,0.835,11.878,0.360,0.108,-9.450,3.454,1.942
63.021,0.024,0.999,-0.046,0.432,0.902,-7.612,0.340,9.957,-13.978,0.863,12.183,0.347,0.124,-9.450,3.513,1.990
63.021,0.024,0.999,-0.046,0.432,0.902,-7.370,0.325,9.847,-13.852,0.858,12.165,0.351,0.124,-9.441,3.486,1.979
63.061,0.024,0.999,-0.047,0.432,0.902,-7.668,0.343,10.220,-14.052,0.874,12.362,0.362,0.097,-9.398,3.518,2.008
63.061,0.025,0.999,-0.047,0.432,0.902,-7.427,0.328,10.108,-13.927,0.869,12.343,0.367,0.097,-9.388,3.491,1.997
63.121,0.025,0.999,-0.048,0.432,0.902,-7.993,0.363,10.728,-14.285,0.897,12.648,0.368,0.105,-9.358,3.556,2.049
63.121,0.025,0.999,-0.048,0.432,0.902,-7.740,0.347,10.611,-14.155,0.892,12.628,0.374,0.104,-9.348,3.528,2.037
63.121,0.025,0.999,-0.049,0.432,0.902,-7.503,0.332,10.496,-14.033,0.888,12.608,0.379,0.104,-9.339,3.501,2.026
63.181,0.025,0.998,-0.049,0.432,0.902,-8.078,0.368,11.128,-14.392,0.915,12.912,0.378,0.082,-9.325,3.570,2.081
63.181,0.026,0.998,-0.050,0.432,0.902,-7.828,0.352,11.007,-14.265,0.911,12.890,0.384,0.081,-9.314,3.542,2.069
63.221,0.026,0.998,-0.050,0.432,0.902,-8.135,0.371,11.396,-14.462,0.928,13.083,0.411,0.085,-9.369,3.580,2.103
63.221,0.026,0.998,-0.051,0.432,0.902,-7.886,0.355,11.272,-14.336,0.924,13.061,0.417,0.084,-9.359,3.552,2.091
63.281,0.026,0.998,-0.052,0.432,0.902,-8.469,0.392,11.923,-14.692,0.954,13.361,0.387,0.108,-9.347,3.628,2.149
63.281,0.026,0.998,-0.053,0.432,0.902,-8.208,0.375,11.793,-14.562,0.950,13.337,0.393,0.108,-9.336,3.598,2.136
63.341,0.026,0.998,-0.054,0.432,0.902,-8.791,0.413,12.454,-14.909,0.980,13.635,0.426,0.092,-9.302,3.678,2.196
63.341,0.026,0.998,-0.054,0.432,0.902,-8.518,0.395,12.318,-14.774,0.976,13.610,0.433,0.091,-9.290,3.647,2.183
63.341,0.026,0.998,-0.055,0.432,0.902,-8.262,0.377,12.184,-14.646,0.973,13.585,0.439,0.090,-9.279,3.618,2.170
63.381,0.027,0.998,-0.056,0.432,0.902,-8.577,0.398,12.589,-14.838,0.993,13.776,0.416,0.106,-9.251,3.664,2.208
63.381,0.027,0.998,-0.057,0.432,0.902,-8.323,0.381,12.453,-14.713,0.990,13.751,0.423,0.106,-9.240,3.634,2.196
63.441,0.027,0.998,-0.058,0.432,0.902,-8.921,0.421,13.132,-15.059,1.023,14.047,0.460,0.106,-9.216,3.721,2.260
63.441,0.027,0.998,-0.058,0.432,0.902,-8.654,0.403,12.990,-14.928,1.020,14.020,0.467,0.105,-9.203,3.690,2.246
63.501,0.027,0.998,-0.060,0.432,0.902,-9.254,0.444,13.678,-15.270,1.054,14.314,0.460,0.089,-9.225,3.782,2.312
63.501,0.028,0.998,-0.061,0.432,0.902,-8.975,0.424,13.529,-15.134,1.052,14.285,0.467,0.088,-9.212,3.750,2.297
63.501,0.028,0.998,-0.062,0.432,0.902,-8.712,0.406,13.384,-15.006,1.049,14.257,0.474,0.087,-9.199,3.718,2.283
63.561,0.028,0.998,-0.063,0.432,0.902,-9.319,0.449,14.082,-15.347,1.085,14.551,0.467,0.090,-9.172,3.815,2.352
63.561,0.028,0.998,-0.064,0.432,0.902,-9.044,0.429,13.929,-15.213,1.083,14.521,0.474,0.089,-9.158,3.782,2.337
63.601,0.029,0.997,-0.066,0.432,0.902,-9.362,0.452,14.350,-15.392,1.106,14.705,0.505,0.079,-9.107,3.838,2.379
63.601,0.029,0.997,-0.067,0.432,0.902,-9.089,0.432,14.195,-15.260,1.105,14.674,0.513,0.078,-9.093,3.804,2.364
63.661,0.029,0.997,-0.068,0.432,0.902,-9.702,0.477,14.909,-15.594,1.142,14.964,0.515,0.065,-9.123,3.909,2.435
63.661,0.029,0.997,-0.070,0.431,0.902,-9.417,0.456,14.746,-15.457,1.141,14.931,0.523,0.064,-9.108,3.874,2.418
63.661,0.029,0.997,-0.071,0.431,0.902,-9.148,0.437,14.587,-15.327,1.140,14.899,0.530,0.063,-9.094,3.840,2.403
63.721,0.030,0.997,-0.073,0.431,0.902,-9.770,0.483,15.310,-15.661,1.181,15.189,0.513,0.085,-9.086,3.949,2.476
63.721,0.030,0.997,-0.074,0.431,0.902,-9.489,0.463,15.144,-15.527,1.181,15.155,0.521,0.084,-9.071,3.913,2.460
63.761,0.030,0.997,-0.076,0.431,0.902,-9.814,0.488,15.577,-15.700,1.208,15.336,0.542,0.078,-9.010,3.977,2.504
63.761,0.030,0.997,-0.077,0.431,0.902,-9.535,0.467,15.408,-15.566,1.209,15.301,0.550,0.076,-8.994,3.941,2.487
63.821,0.031,0.996,-0.079,0.431,0.902,-10.161,0.516,16.146,-15.891,1.253,15.585,0.590,0.086,-9.020,4.058,2.562
63.821,0.031,0.996,-0.081,0.431,0.902,-9.870,0.494,15.969,-15.752,1.255,15.548,0.599,0.084,-9.004,4.020,2.544
63.821,0.031,0.996,-0.082,0.431,0.902,-9.595,0.473,15.797,-15.620,1.256,15.512,0.607,0.082,-8.988,3.983,2.527
63.881,0.032,0.996,-0.085,0.431,0.902,-10.229,0.524,16.543,-15.943,1.300,15.797,0.580,0.041,-8.950,4.105,2.604
63.881,0.032,0.996,-0.087,0.431,0.902,-9.942,0.502,16.363,-15.806,1.303,15.759,0.589,0.039,-8.933,4.066,2.585
63.941,0.033,0.995,-0.089,0.431,0.902,-10.573,0.555,17.116,-16.119,1.352,16.041,0.608,0.096,-8.906,4.192,2.662
63.941,0.033,0.995,-0.091,0.431,0.902,-10.273,0.530,16.927,-15.977,1.356,16.001,0.618,0.095,-8.888,4.151,2.642
63.981,0.034,0.995,-0.094,0.431,0.902,-10.598,0.558,17.372,-16.135,1.390,16.174,0.647,0.038,-8.875,4.224,2.688
63.981,0.034,0.995,-0.096,0.430,0.903,-10.302,0.534,17.181,-15.994,1.395,16.133,0.656,0.036,-8.857,4.182,2.667
64.041,0.035,0.994,-0.099,0.430,0.903,-10.935,0.590,17.946,-16.300,1.448,16.411,0.638,0.052,-8.876,4.316,2.746
64.041,0.035,0.994,-0.102,0.430,0.903,-10.627,0.564,17.747,-16.153,1.453,16.368,0.649,0.050,-8.857,4.272,2.724
64.041,0.035,0.994,-0.104,0.430,0.903,-10.336,0.539,17.553,-16.014,1.459,16.326,0.658,0.048,-8.839,4.230,2.704
64.101,0.036,0.994,-0.107,0.430,0.903,-10.976,0.598,18.325,-16.317,1.514,16.602,0.686,0.039,-8.785,4.368,2.784
64.101,0.036,0.993,-0.110,0.430,0.903,-10.673,0.571,18.123,-16.172,1.521,16.558,0.697,0.037,-8.765,4.322,2.761
64.141,0.037,0.993,-0.113,0.430,0.903,-11.001,0.603,18.574,-16.322,1.562,16.725,0.694,0.024,-8.757,4.401,2.807
64.141,0.037,0.993,-0.116,0.429,0.903,-10.698,0.576,18.368,-16.177,1.570,16.680,0.704,0.022,-8.737,4.355,2.783
64.201,0.038,0.992,-0.120,0.429,0.903,-11.338,0.640,19.149,-16.467,1.632,16.952,0.730,0.033,-8.686,4.500,2.864
64.201,0.039,0.992,-0.123,0.429,0.903,-11.024,0.610,18.935,-16.316,1.641,16.905,0.741,0.030,-8.665,4.451,2.839
64.201,0.039,0.991,-0.125,0.428,0.904,-10.727,0.582,18.726,-16.174,1.651,16.858,0.752,0.028,-8.645,4.403,2.815
64.261,0.040,0.991,-0.130,0.428,0.904,-11.371,0.650,19.514,-16.460,1.715,17.129,0.766,0.014,-8.617,4.551,2.895
64.261,0.040,0.990,-0.133,0.428,0.904,-11.062,0.619,19.296,-16.311,1.726,17.079,0.777,0.011,-8.596,4.501,2.869
64.321,0.041,0.990,-0.138,0.428,0.904,-11.702,0.689,20.088,-16.588,1.797,17.347,0.783,0.035,-8.571,4.652,2.949
64.321,0.042,0.989,-0.141,0.428,0.904,-11.382,0.656,19.862,-16.433,1.810,17.296,0.796,0.033,-8.548,4.599,2.921
64.361,0.043,0.988,-0.146,0.428,0.904,-11.704,0.694,20.319,-16.562,1.863,17.455,0.818,0.012,-8.565,4.684,2.965
64.361,0.043,0.988,-0.149,0.427,0.904,-11.386,0.660,20.091,-16.408,1.878,17.402,0.830,0.009,-8.541,4.629,2.937
64.421,0.045,0.987,-0.155,0.427,0.904,-12.023,0.736,20.891,-16.672,1.957,17.666,0.821,0.026,-8.494,4.786,3.016
64.421,0.045,0.986,-0.159,0.426,0.905,-11.694,0.700,20.653,-16.511,1.974,17.611,0.834,0.023,-8.469,4.728,2.986
64.421,0.046,0.986,-0.163,0.426,0.905,-11.382,0.666,20.421,-16.359,1.989,17.557,0.846,0.021,-8.446,4.673,2.957
64.481,0.047,0.985,-0.169,0.425,0.905,-12.022,0.747,21.227,-16.619,2.073,17.815,0.914,0.025,-8.445,4.831,3.035
64.481,0.047,0.984,-0.173,0.425,0.905,-11.699,0.710,20.986,-16.460,2.091,17.759,0.927,0.023,-8.421,4.772,3.004
64.521,0.049,0.983,-0.178,0.424,0.906,-12.020,0.754,21.447,-16.576,2.156,17.912,0.888,-0.000,-8.388,4.858,3.045
64.521,0.049,0.982,-0.183,0.423,0.906,-11.700,0.717,21.204,-16.418,2.175,17.855,0.901,-0.003,-8.363,4.798,3.013
64.581,0.051,0.981,-0.189,0.423,0.906,-12.334,0.805,22.015,-16.663,2.267,18.110,0.938,-0.018,-8.322,4.959,3.089
64.581,0.052,0.980,-0.194,0.422,0.907,-12.001,0.764,21.762,-16.497,2.289,18.050,0.952,-0.020,-8.295,4.895,3.055
64.581,0.052,0.979,-0.198,0.421,0.907,-11.685,0.725,21.515,-16.339,2.310,17.991,0.965,-0.022,-8.270,4.834,3.023
64.641,0.054,0.977,-0.206,0.420,0.907,-12.321,0.820,22.331,-16.578,2.407,18.244,0.981,-0.015,-8.235,4.995,3.098
64.641,0.054,0.976,-0.211,0.419,0.908,-11.993,0.778,22.075,-16.413,2.432,18.182,0.995,-0.017,-8.208,4.930,3.063
64.701,0.056,0.974,-0.219,0.419,0.908,-12.621,0.876,22.893,-16.640,2.537,18.431,1.001,-0.004,-8.190,5.092,3.136
64.701,0.057,0.973,-0.224,0.418,0.909,-12.282,0.830,22.628,-16.467,2.565,18.366,1.016,-0.006,-8.161,5.024,3.099
64.741,0.058,0.971,-0.231,0.417,0.909,-12.587,0.884,23.088,-16.554,2.648,18.509,1.034,-0.010,-8.121,5.110,3.135
64.741,0.059,0.970,-0.237,0.415,0.910,-12.252,0.837,22.821,-16.382,2.677,18.443,1.049,-0.011,-8.093,5.040,3.097
64.741,0.060,0.968,-0.242,0.414,0.910,-11.934,0.794,22.561,-16.219,2.703,18.379,1.063,-0.012,-8.065,4.973,3.061
64.801,0.062,0.966,-0.250,0.413,0.911,-12.559,0.906,23.384,-16.431,2.816,18.624,1.098,-0.037,-7.999,5.134,3.131
64.801,0.062,0.965,-0.256,0.411,0.912,-12.229,0.858,23.114,-16.260,2.847,18.557,1.113,-0.038,-7.970,5.063,3.093
64.861,0.064,0.962,-0.265,0.410,0.912,-12.845,0.974,23.939,-16.459,2.969,18.798,1.114,-0.015,-7.956,5.225,3.161
64.861,0.065,0.960,-0.271,0.408,0.913,-12.504,0.921,23.660,-16.279,3.004,18.727,1.130,-0.016,-7.926,5.150,3.120
64.901,0.067,0.958,-0.280,0.407,0.914,-12.800,0.985,24.120,-16.345,3.101,18.862,1.136,-0.021,-7.886,5.233,3.151
64.901,0.068,0.956,-0.286,0.405,0.914,-12.463,0.932,23.839,-16.165,3.137,18.790,1.152,-0.021,-7.855,5.157,3.111
64.961,0.070,0.953,-0.296,0.403,0.915,-13.065,1.058,24.666,-16.345,3.271,19.023,1.188,-0.027,-7.859,5.318,3.176
64.961,0.071,0.950,-0.303,0.401,0.916,-12.716,1.000,24.375,-16.156,3.312,18.948,1.204,-0.027,-7.826,5.239,3.133
64.961,0.072,0.948,-0.309,0.399,0.917,-12.384,0.945,24.092,-15.976,3.348,18.874,1.220,-0.025,-7.795,5.163,3.091
65.021,0.074,0.945,-0.320,0.398,0.918,-12.982,1.083,24.921,-16.146,3.488,19.105,1.239,-0.027,-7.738,5.321,3.154
65.021,0.075,0.942,-0.327,0.395,0.919,-12.639,1.023,24.628,-15.957,3.529,19.028,1.255,-0.025,-7.705,5.241,3.110
65.061,0.077,0.939,-0.336,0.392,0.920,-12.921,1.099,25.085,-16.000,3.641,19.153,1.272,-0.023,-7.660,5.319,3.137
65.061,0.078,0.936,-0.343,0.390,0.921,-12.583,1.038,24.790,-15.811,3.683,19.075,1.289,-0.020,-7.628,5.238,3.093
65.121,0.080,0.932,-0.354,0.387,0.922,-13.163,1.188,25.620,-15.957,3.837,19.298,1.295,-0.014,-7.601,5.394,3.152
65.121,0.082,0.929,-0.362,0.385,0.923,-12.814,1.121,25.315,-15.758,3.884,19.215,1.312,-0.010,-7.566,5.310,3.106
65.121,0.083,0.926,-0.368,0.382,0.924,-12.482,1.059,25.018,-15.570,3.925,19.135,1.328,-0.006,-7.533,5.228,3.062
